input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
		PRTG	NUTF2P5
		COPB1	LINC01194
		PSMA1	RAPGEF6
		EIF2AP4	FGD6
		RUNX1T1	VEZT
		RHBDD1	RPEP2
		AK5	HIVEP2
		NREP	LINC01277
		NREP-AS1	ABCA5
		ADAMTS20	RF00561
		CCDC191	SNRPGP4
		QTRT2	UBE2E2
		ATR	FBXO9
		PLS1	GSTA4
		RPL6P9	ICK
		LINC01525	RF00100
		MAN1A2	CNGB1
		GALNT3	TEPP
		CLASP1	RPL23AP32
		CAST	SPTBN1
		ADPGK	C5orf22
		ADPGK-AS1	DROSHA
		SMKR1	NSF
		SNRPGP3	API5P2
		STRIP2	ANK3
		SV2B	PPARGC1B
		LINC02281	FAM114A1
		LINC02327	SLC25A26
		HNRNPA1P60	NMRK1
		LINC00326	OSTF1
		CAPG	HTR5A
		RPSAP22	HTR5A-AS1
		SH2D6	ARHGEF10
		HSPA8P17	CLN8
		LINC02464	CASC15
		NAV3	LELP1
		DLEU2L	LOR
		EFCAB7	PRR9
		ITGB3BP	DCLK3
		RF02105	HSPD1P6
		RF02106	SLC2A9
		RF02107	TRIO
		RF02108	CPNE4
		RF02109	CHRNA9
		RF02110	LINC02265
		ETS1	NEK6
		LINC01593	RF00275
		SLC5A7	SGSM1
		ALG1L13P	AF241726.1
		ENPP7P1	FTLP16
		FAM85B	KCTD15
		FAM86B3P	CDC42P4
		MCCC1	MCUB
		MCCC1-AS1	SETP20
		CADPS	CTSZ
		LINC02653	NELFCD
		HDAC8	TUBB1
		CHMP1B	SH3YL1
		CHMP1B-AS1	CDKL4
		CD53	SOS1
		NRBF2P3	AK5
		OR11I1P	ADA2
		CXorf56	CECR3
		NKRF	FAM32BP
		SEPT6	ABTB2
		UBE2A	AJAP1
		MYO10	Z98886.1
		ARFIP1	FUT10
		TIGD4	IDO2
		PAPOLG	RETNLB
		ADAM10	KLHL31
		MINDY2	MYL10
		RPS20P25	LINC00882
		FNBP1L	AGBL1
		LNX2	SLC30A6
		UBE2H	SPAST
		PGBD4P2	CYCSP20
		RIMS4	RNY1P11
		YWHAB	TSPAN33
		NAALADL2	TENM4
		TSG101	IFNG
		UEVLD	IL26
		YWHABP2	UBXN2B
		LINC02645	FAM210B
		ACBD7	ANKRD20A1
		GAPDHP45	EEF1A1P11
		NMT2	LINC01787
		OLAH	UBE2WP1
		RPP38	LINC02181
		RPP38-DT	RBBP7
		NEK3	REPS2
		NEK5	RPTOR
		FAT3	LINC02275
		PGAM1P9	MFAP3L
		GORASP2	HNRNPA1P12
		CRPPA	ZFYVE16
		DYNC1H1	ALK
		HSP90AA1	ISCUP1
		NF2	LINC01681
		NIPSNAP1	SLC38A4
		RPEP4	HERC1
		THOC5	NOP56P3
		TRIO	PAWR
		HEATR5A	DZANK1
		ITSN2	POLR3F
		PON1	RBBP9
		GRIA3	RPL21P3
		CYP2J2	RPS19P1
		HOOK1	SEC23B
		STK3	OR6W1P
		GALP	PIP
		ZNF444	SEC24B
		ZNF787	SEC24B-AS1
		ZSCAN5B	LINC00383
		ZSCAN5C	FABP5P6
		TNFRSF11B	BHMG1
		MRPS36P2	DM1-AS
		KRT8P9	DMPK
		LARP6	DMWD
		LRRC49	FBXO46
		THAP10	SIX5
		THSD4	AF279873.3
		ASAP1	BUD31P1
		HDAC9	DUSP26
		PPIAP58	RNF122
		URI1	HECA
		KRT8P7	CHAF1B
		OXNAD1	MORC3
		RFTN1	LINC00500
		CACNA1A	MRPL3
		LINC01513	DEUP1
		LINC02212	CWH43
		LINC02213	TPI1P4
		ROPN1L	NKAIN3
		ROPN1L-AS1	CASC17
		RPL30P7	FMN1
		KALRN	WDR89
		GALK2	LINC01118
		LINC01375	LINC01119
		SNRPD2P1	MCFD2
		MARCO	C6
		PSD3	ANKRD55
		LINC00710	C1GALT1P2
		GATA3	YTHDF3
		GATA3-AS1	YTHDF3-AS1
		GIHCG	FAM149A
		TSHZ2	TLR3
		ZNF679	CRIP1P1
		ZNF736	RAF1
		FBXL21P	PDE4B
		IL9	CIITA
		SLC25A48	TVP23A
		FAR2	STOX2
		MED28P6	CDK5RAP2
		PRND	LHX2
		PRNT	ITGA8
		RASSF2	MINDY3
