input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
			PTPRJ
			LINC02460
			SERTAD2
			PRUNEP1
			LINC00399
			SPOP
			LINC02392
			PLXNA4
			MRPS35
			DUX4L2
			Z82205.1
			TMPRSS2
			SNRPCP3
			SORBS2
			GNAZ
			LINC02184
			COX6A1P3
			SILC1
			SIM2
			EGFEM1P
			PKIA-AS1
			RBMS3-AS2
			DNAJC27-AS1
			JUP
			TSPAN18
			PCNPP2
			PREPL
			RPL5P32
			LINC02627
			TPTE2P5
			SENP6
			TSNARE1
			STK33P1
			ARHGDIB
			NCAPH
			BLVRA
			RRP9
			CASP3P1
			PHLDB2
			RPL36AP29
			ANKRD28
			CPQ
			IFNWP4
			RNF165
			FABP5
			NT5C3A
			MYO7A
			TTC25
			THBS1
			SMARCE1P4
			CMC1
			SUSD5
			NEIL3
			STARD13
			TBX21
			EXOC4
			LHFPL2
			ADAM29
			CNN2P6
			TLK2P1
			C8orf89
			HDAC2
			ADGRG5
			HIST1H2BPS3
			CTH
			MED6
			ATF5
			STK17B
			LY86-AS1
			ITGAV
			GSTM3
			IFNB1
			METAP2
			GOLGA6L5P
			CNTN1
			PCNP
			KRBA1
			RBM7
			CLCN3P1
			LINC02295
			RPS3AP15
			SIPA1L2
			LINC02686
			CBLB
			PTPN13
			PSMA6P4
			PROX1
			TBCAP2
			USP7
			CIR1P2
			PDXDC1
			SH3GL2
			DPP10
			PRAMEF1
			PABPC1P11
			SQOR
			BCOR
			AMPH
			TACR1
			MYLK
			CHPF
			OR7H2P
			SETD3
			KCNB1
			TMEM123
			FEM1AP3
			ANGPT4
			FECH
			LINC02028
			KLHL32
			FTH1P2
			RPL7P8
			CKS1BP1
			HSF1
			FEZ1
			LINC02516
			NRSN1
			RBM43
			RPL34P31
			LINC01797
			OR7E15P
			B3GALNT2P1
			RPL9P16
			SFTA3
			GPR135
			VLDLR
			MTND3P4
			HSPA8P5
			RPL37P18
			KIF3B
			RPS14P4
			GRIN2B
			HAGLR
			NYAP2
			RPSAP7
			PPATP1
			KDM2B
			GPC3
			WDR59
			COPS5P1
			SLCO3A1
			RPS23P4
			PIGHP1
			ANKRD30BP3
			GAPDHP37
			LINC00543
			MINDY2
			TMEM266
			RPL17P36
			HMGB3P27
			TPI1P3
			OR10H4
			CALM2
			FBXO17
			TES
			PLCL2
			EIF4E2P2
			HECW1
			PPFIBP1
			LINC01350
			HNRNPA1P70
			DCAF4
			LINC02505
			MTSS1
			SYNPO2
			LINC00886
			ZEB1
			GRM4
			EGFR
			LINC00052
			PPP1R3B
			HECTD2
			FER1L6-AS2
			PHBP20
			PRMT5P1
			RPL29P25
			ELK3
			KBTBD8
			VCAN-AS1
			PJA2
			LINC00299
			STEAP1B
			SNX24
			DLG2
			NXT1P1
			GFRA4
