input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
PDE4A		RPL36AP29	PDE4A
TYK2		ISCA2P1	TYK2
PARD3B		MIAT	PARD3B
RPS6P15		RF01874	RPS6P15
RPSAP72		RF01875	RPSAP72
C1orf53		RF01876	C1orf53
LHX9		RF01877	LHX9
BDP1		Z99774.1	BDP1
HMGN1P12		PGBD4P5	HMGN1P12
MCCC2		INPP5F	MCCC2
AKAP6		ANKRD49	AKAP6
MTCO1P2		C11orf97	MTCO1P2
ADK		MRE11	ADK
AP3M1		ALDOAP2	AP3M1
VCL		EDRF1	VCL
SFMBT1		EDRF1-DT	SFMBT1
STIMATE		TEX36	STIMATE
STIMATE-MUSTN1		SP3	STIMATE-MUSTN1
HDDC2		LINC01680	HDDC2
GSK3B		TRIM60	GSK3B
DCANP1		TRIM75P	DCANP1
H2AFY		LINC01217	H2AFY
TIFAB		CD109	TIFAB
NR3C2		C6orf52	NR3C2
ITIH5		GCNT2P1	ITIH5
VPS54		PAK1IP1	VPS54
MICAL2		DLGAP5	MICAL2
LIFR		BEND5	LIFR
ITGA8		TUBB4BP5	ITGA8
MINDY3		RPS26P24	MINDY3
MYOZ3		C8orf37	MYOZ3
RBM22		C8orf37-AS1	RBM22
SYNPO		MRPL35P2	SYNPO
MSNP1		RF00004	MSNP1
MTND5P4		CALD1	MTND5P4
LINC01091		LINC02419	LINC01091
RF00189		ZNF510	RF00189
SIPA1L1		PSAP	SIPA1L1
RNF150		ANKRD50	RNF150
ZNF330		GJA10	ZNF330
CBR3		RPL22P14	CBR3
CBR3-AS1		CLINT1	CBR3-AS1
DOP1B		CDK8	DOP1B
MEMO1P1		THAP12P6	MEMO1P1
RPL3P1		BPI	RPL3P1
RPS9P1		KIAA1755	RPS9P1
CCSER1		IKZF1	CCSER1
PALLD		AHCYL2	PALLD
MRPL49P2		EFHB	MRPL49P2
MSR1		HSPA8P18	MSR1
LINC02118		RAB5A	LINC02118
NUP35		ZMIZ1	NUP35
HTR2A		DHDDS	HTR2A
HTR2A-AS1		HMGN2	HTR2A-AS1
DIO1		LIN28A	DIO1
NDC1		LINC01592	NDC1
YIPF1		ENOX1	YIPF1
B4GALT7		RPL36P19	B4GALT7
TMED9		CCDC196	TMED9
DBF4		ERICH6	DBF4
SLC25A40		ERICH6-AS1	SLC25A40
KPNA2P2		SIAH2	KPNA2P2
CFAP61		SIAH2-AS1	CFAP61
BNIP3L		SNRPCP3	BNIP3L
SDAD1P1		BASP1	SDAD1P1
NAMPT		LINC01886	NAMPT
PPP1R2C		NAV2	PPP1R2C
ITIH2		BTF3P6	ITIH2
ZNF782		CRYZL1	ZNF782
EBF1		DONSON	EBF1
BAZ2B		GART	BAZ2B
HSPE1P22		SON	HSPE1P22
ROR2		ERVMER61-1	ROR2
SPTLC1		FDPSP1	SPTLC1
ANKRD44		ANP32A	ANKRD44
LINC01752		PSMD14	LINC01752
AADAT		SLC4A10	AADAT
APOBEC3AP1		TBR1	APOBEC3AP1
MFAP3L		RAG2	MFAP3L
TPT1P8		ITSN1	TPT1P8
FAM120A		MICAL3	FAM120A
VWF		LINC02433	VWF
CCDC7		LINC01248	CCDC7
B4GALT6		SOX11	B4GALT6
LRRC37A7P		GMPR	LRRC37A7P
SLC25A52		MRPL42P2	SLC25A52
FRMD4B		PKHD1	FRMD4B
CNTN4		SLC25A38P1	CNTN4
CCDC182		Z98043.1	CCDC182
AIMP2		ARHGEF11	AIMP2
ANKRD61		DUSP18	ANKRD61
EIF2AK1		OSBP2	EIF2AK1
PMS2		ACOT11	PMS2
USP42		HNRNPA1P63	USP42
CA5AP1		LINC01488	CA5AP1
QPRT		SKOR1	QPRT
SLC7A5P1		CATSPERB	SLC7A5P1
SMG1P2		TC2N	SMG1P2
SPN		LINC01119	SPN
ANKS1B		MCFD2	ANKS1B
CELF2		TTC7A	CELF2
SFTA1P		ZNF229	SFTA1P
BACE2		ZNF285	BACE2
BACE2-IT1		ZNF285B	BACE2-IT1
PLAC4		ENDOU	PLAC4
ANO10		RAPGEF3	ANO10
MUC5B		RPAP3	MUC5B
MUC5B-AS1		SLC48A1	MUC5B-AS1
TOLLIP		GRAMD4P5	TOLLIP
TOLLIP-AS1		POTEB2	TOLLIP-AS1
BRI3P1		LINC00870	BRI3P1
LRRC39		LINC00877	LRRC39
RPL23AP90		EMCN	RPL23AP90
SASS6		LINC01142	SASS6
TRMT13		ARHGAP21	TRMT13
HNRNPA1P20		CACNA1C	HNRNPA1P20
NCAM2		CACNA1C-AS2	NCAM2
ANK1		CACNA1C-AS3	ANK1
KAT6A		LINC01579	KAT6A
NCK2		CRADD	NCK2
ARF1P3		AIFM1	ARF1P3
FER1L6-AS2		ELF4	FER1L6-AS2
ZFAND3		RAB33A	ZFAND3
RF00003		CACNB2	RF00003
