input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
HDAC9	KY	KY	HDAC9
ZNF131	ICE1	ICE1	ZNF131
MMAA	LINC02055	LINC02055	MMAA
STK3	LARP1B	LARP1B	STK3
FOXJ3	UTRN	UTRN	FOXJ3
PCDHGC3	SLC39A8	SLC39A8	PCDHGC3
AKAP2	PCAT1	PCAT1	AKAP2
TMEM94	GKAP1	GKAP1	TMEM94
ADAM10	HPSE2	HPSE2	ADAM10
CETP	C1orf115	C1orf115	CETP
PPP3CA	CNOT6	CNOT6	PPP3CA
LINC01333	RPL30P10	RPL30P10	LINC01333
ARHGAP20	MEI4	MEI4	ARHGAP20
KRT8P18	OPCML	OPCML	KRT8P18
FIG4	LINC02422	LINC02422	FIG4
ZNF653	WDR41	WDR41	ZNF653
SPOCK3	AGL	AGL	SPOCK3
SIGLEC15	MARK4	MARK4	SIGLEC15
MYO1C	TRAM1L1	TRAM1L1	MYO1C
UTP14C	LINC02362	LINC02362	UTP14C
KIDINS220	LINC01644	LINC01644	KIDINS220
CSPP1	MYO10	MYO10	CSPP1
NUCB2	RIMBP2	RIMBP2	NUCB2
ENPP2	NRSN2	NRSN2	ENPP2
CLMP	SNF8	SNF8	CLMP
NUDT6	RUNX2	RUNX2	NUDT6
LARP1BP2	LINC02240	LINC02240	LARP1BP2
BSNDP2	DRICH1	DRICH1	BSNDP2
TENM3	ACVR1C	ACVR1C	TENM3
RNF111	FAM162B	FAM162B	RNF111
TBC1D12	AADAC	AADAC	TBC1D12
MORN1	PRKCQ	PRKCQ	MORN1
MAP7D2	WDR11	WDR11	MAP7D2
RELB	KCND2	KCND2	RELB
UNC50	TNFRSF21	TNFRSF21	UNC50
MVP	LRRC4C	LRRC4C	MVP
CDCP1	RBPJL	RBPJL	CDCP1
NR1D2		BBS2	NR1D2
KRIT1		OR10J1	KRIT1
LINC01744		CYP2R1	LINC01744
PTH2R		MGAT4C	PTH2R
LINC01222		UCP1	LINC01222
ISM1		MYO5A	ISM1
HOMER1		LINC00882	HOMER1
EBF1		ZNF275	EBF1
FO082796.2		RF00093	FO082796.2
PLXNA2		SIM2	PLXNA2
FRYL		FGF10-AS1	FRYL
MYL12BP2		SPEF2	MYL12BP2
CEACAM7		KIAA1217	CEACAM7
CBR3-AS1		SLC2A9	CBR3-AS1
CLNK		HPRT1P2	CLNK
INTS4		CNTN5	INTS4
ERN1		LINC01497	ERN1
FAM184A		ZMAT4	FAM184A
RF00322		RSL24D1P9	RF00322
MCUR1		ZNF366	MCUR1
ZNF484		EPM2A	ZNF484
C17orf100		MIATNB	C17orf100
LINC02041		HULC	LINC02041
ARL2BPP4		RF02271	ARL2BPP4
TANK		LINC01339	TANK
IL13RA1		KBTBD12	IL13RA1
LINC02039		GHITM	LINC02039
BCL11A		LINC00840	BCL11A
GLCE		FAM155A	GLCE
LINC00592		HEATR1	LINC00592
TLR4		PMEPA1	TLR4
LINC02321		LONP2	LINC02321
STRA8		TTLL8	STRA8
B3GAT3		GNG5P1	B3GAT3
C8orf33		OTOGL	C8orf33
CTSL		RAPGEF2	CTSL
TLN1		CCNB3P1	TLN1
FCGBP		ZFPM2	FCGBP
NIPBL		LDHAL6DP	NIPBL
ARF4		EFEMP1	ARF4
FHIT		TAB2	FHIT
GRIA3		VWA8	GRIA3
LINC00347		BANK1	LINC00347
STMN4		ROCK1	STMN4
BANK1		ASS1P11	BANK1
ALOX15P1		KDM4C	ALOX15P1
TOX2		LINC02059	TOX2
FAAHP1		LHX2	FAAHP1
ZKSCAN1		ZNF418	ZKSCAN1
TRIB1		LRFN2	TRIB1
RPL23P4		LINC01902	RPL23P4
C15orf54		ADRA1A	C15orf54
LRP12		DPH5	LRP12
GYG1P1		RNF8	GYG1P1
PHLDA1		DCDC1	PHLDA1
BHLHE40-AS1		PPP1R1C	BHLHE40-AS1
RPL10P19		GNPAT	RPL10P19
ACACA		CDC27	ACACA
ZNF420		SGCE	ZNF420
AVL9		DLGAP1-AS4	AVL9
