input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
			LINC02622
			MDGA1
			DEFB109F
			RNASEH2B-AS1
			CASC15
			STK32B
			AOAH
			FYB1
			CEP85L
			HLFP1
			GPA33
			CT45A1
			PVALB
			Z82185.1
			TCHP
			XIRP1
			NUP88
			LINC00472
			KLHL3
			TAS2R10
			SAMD4B
			HM13
			LDLRAD4
			ABCE1
			SUZ12
			GLIS3
			TARID
			TCF21
			MNAT1
			CLYBL
			ISM2
			HNRNPA1P21
			LINC01645
			MRPL54
			CSMD2
			GFOD1
			GFOD1-AS1
			S100A5
			MYO5A
			SIT1
			PAPOLG
			KDM4D
			FAXC
			DOC2A
			CLMAT3
			GCNT7
			PLCL2
			HYDIN
			EPSTI1
			Z75746.1
			MPRIP
			DYRK1A
			MID1
			OR10H4
			APCDD1L
			APCDD1L-DT
			ANKRD37
			LRP2BP
			MAP2
			NBAT1
			IP6K2
			TM4SF19
			TM4SF19-TCTEX1D2
			MYL12B
			TBC1D20
